B4AH4A01	27	116
B4AH4A02	27	120
B4AH4A03	27	116
B4AH4A04	29	108
B4AH4A05	28	109
B4AH4A06	27	112
B4AH4A07	27	112
B4AH4A08	28	113
B4AH4A09	29	113
B2AH2A04	26	120
B2AH2A05	26	111
B2AH2A06	27	112
B2AH2A07	27	115
B2AH2A08	28	115
B4AM4A01	24	120
B4AM4A02	24	124
B4AM4A03	23	108
B4AM4A04	23	89
B4AM4A05	25	79
B4AM4A06	25	90
B4AM4A07	27	102
B4AM4A08	26	110
B2AM2A01	24	119
B2AM2A02	23	123
B2AM2A03	29	105
B2AM2A04	29	93
B2AM2A05	24	85
B2AM2A06	26	94
B2AM2A07	35	100
B2AM2A08	35	102
B3AE3A02	29	114
B3AE3A03	28	120
B3AE3A04	28	124
B3AE3A05	30	121
B3AE3A06	29	120
B3AE3A07	30	117
B3AE3A08	30	118
B3AE3A09	30	116
B3AE3A10	29	115
B3AE3A11	30	116
B3AE3A12	30	117
B4LB4B01	96	123
B4LB4B02	85	124
B4LB4B03	48	123
B4LB4B04	50	121
B4LB4B05	49	140
B4LB4B06	48	154
B4LB4B07	78	145
B2LB2B01	24	128
B2LB2B02	31	140
B2LB2B03	55	126
B2LB2B04	62	117
B2LB2B05	41	116
B2LB2B06	26	113
B2LB2B07	24	112
B3CP3B03	65	57
B3CP3B04	61	73
B3CP3B05	51	75
B3CP3B06	57	67
B3CP3B07	73	38
B3GU2A01	73	30
B3GU2A02	70	32
B3GU2A03	74	56
B3GU2A04	63	65
B3GU2A05	52	51
B3GU2A06	34	59
B3GU2A07	36	72
B3GU2A08	34	75
B3GU2A09	25	100
B3GU2A10	25	108
B3GU4A01	73	30
B3GU4A02	68	42
B3GU4A03	60	48
B3GU4A04	61	51
B3GU4A05	61	58
B3GU4A06	63	60
B3GU4A07	57	70
B3GU4A08	29	70
B3GU4A09	33	97
B3LR4A01	31	111
B3LR4A02	40	109
B3LR4A03	54	128
B3LR4A04	55	143
B3LR4A05	60	73
B3LR4A06	56	51
B3LR4A07	51	37
B3LR4A08	47	34
B4UC3B01	36	115
B4UC3B02	55	85
B4UC3B03	67	66
B4UC3B04	73	56
B4UC3B05	72	81
B4UC3B06	70	91
B4UC3B07	70	65
B4UC3B08	70	38
B3FD3C01	71	59
B3FD3C02	50	79
B3FD3C03	47	86
B3FD3C04	68	88
B3FD3C05	59	69
B3FD3C06	61	50
B3FD3C07	53	31
B4TD3B01	30	108
B4TD3B02	28	103
B4TD3B03	35	98
B4TD3B04	47	92
B4TD3B05	39	67
